LAST SEEN   TYPE      REASON              OBJECT                                MESSAGE
3m5s        Normal    ScalingReplicaSet   deployment/sample-app-v1              Scaled up replica set sample-app-v1-67cfb7b77 from 3 to 9
3m5s        Normal    SuccessfulCreate    replicaset/sample-app-v1-67cfb7b77    Created pod: sample-app-v1-67cfb7b77-k98ch
3m5s        Normal    SuccessfulCreate    replicaset/sample-app-v1-67cfb7b77    Created pod: sample-app-v1-67cfb7b77-2zrfm
3m5s        Normal    Scheduled           pod/sample-app-v1-67cfb7b77-2zrfm     Successfully assigned deployment-strategies/sample-app-v1-67cfb7b77-2zrfm to minikube
3m4s        Normal    Scheduled           pod/sample-app-v1-67cfb7b77-pdv2z     Successfully assigned deployment-strategies/sample-app-v1-67cfb7b77-pdv2z to minikube
3m4s        Normal    SuccessfulCreate    replicaset/sample-app-v1-67cfb7b77    Created pod: sample-app-v1-67cfb7b77-pdv2z
3m4s        Normal    SuccessfulCreate    replicaset/sample-app-v1-67cfb7b77    Created pod: sample-app-v1-67cfb7b77-9c4pn
3m5s        Normal    SuccessfulCreate    replicaset/sample-app-v1-67cfb7b77    Created pod: sample-app-v1-67cfb7b77-9kmjc
3m4s        Normal    SuccessfulCreate    replicaset/sample-app-v1-67cfb7b77    Created pod: sample-app-v1-67cfb7b77-rg9qt
3m4s        Normal    Scheduled           pod/sample-app-v1-67cfb7b77-9kmjc     Successfully assigned deployment-strategies/sample-app-v1-67cfb7b77-9kmjc to minikube
3m4s        Normal    Scheduled           pod/sample-app-v1-67cfb7b77-9c4pn     Successfully assigned deployment-strategies/sample-app-v1-67cfb7b77-9c4pn to minikube
3m4s        Normal    Scheduled           pod/sample-app-v1-67cfb7b77-rg9qt     Successfully assigned deployment-strategies/sample-app-v1-67cfb7b77-rg9qt to minikube
3m3s        Normal    Started             pod/sample-app-v1-67cfb7b77-9kmjc     Container started
3m3s        Normal    Created             pod/sample-app-v1-67cfb7b77-9kmjc     Container created
3m3s        Normal    Started             pod/sample-app-v1-67cfb7b77-k98ch     Container started
3m3s        Normal    Pulled              pod/sample-app-v1-67cfb7b77-9kmjc     Container image "nginx:alpine" already present on machine and can be accessed by the pod
3m3s        Normal    Pulled              pod/sample-app-v1-67cfb7b77-pdv2z     Container image "nginx:alpine" already present on machine and can be accessed by the pod
3m3s        Normal    Started             pod/sample-app-v1-67cfb7b77-2zrfm     Container started
3m3s        Normal    Pulled              pod/sample-app-v1-67cfb7b77-k98ch     Container image "nginx:alpine" already present on machine and can be accessed by the pod
3m3s        Normal    Created             pod/sample-app-v1-67cfb7b77-k98ch     Container created
3m3s        Normal    Created             pod/sample-app-v1-67cfb7b77-2zrfm     Container created
3m3s        Normal    Pulled              pod/sample-app-v1-67cfb7b77-2zrfm     Container image "nginx:alpine" already present on machine and can be accessed by the pod
3m3s        Normal    Created             pod/sample-app-v1-67cfb7b77-pdv2z     Container created
3m2s        Normal    Pulled              pod/sample-app-v1-67cfb7b77-9c4pn     Container image "nginx:alpine" already present on machine and can be accessed by the pod
3m2s        Normal    Created             pod/sample-app-v1-67cfb7b77-9c4pn     Container created
3m2s        Normal    Started             pod/sample-app-v1-67cfb7b77-9c4pn     Container started
3m2s        Normal    Started             pod/sample-app-v1-67cfb7b77-rg9qt     Container started
3m2s        Normal    Created             pod/sample-app-v1-67cfb7b77-rg9qt     Container created
