LAST SEEN   TYPE      REASON                    OBJECT                                               MESSAGE
66s         Normal    Created                   pod/log-client-3                                     Container created
66s         Normal    Started                   pod/log-client-3                                     Container started
63s         Normal    Scheduled                 pod/log-client-4                                     Successfully assigned default/log-client-4 to ip-172-31-10-114
62s         Normal    Pulled                    pod/log-client-4                                     Container image "busybox:1.36" already present on machine and can be accessed by the pod
62s         Normal    Created                   pod/log-client-4                                     Container created
62s         Normal    Started                   pod/log-client-4                                     Container started
60s         Normal    Scheduled                 pod/log-client-5                                     Successfully assigned default/log-client-5 to ip-172-31-10-114
59s         Normal    Started                   pod/log-client-5                                     Container started
59s         Normal    Created                   pod/log-client-5                                     Container created
59s         Normal    Pulled                    pod/log-client-5                                     Container image "busybox:1.36" already present on machine and can be accessed by the pod
57s         Normal    Scheduled                 pod/log-client-6                                     Successfully assigned default/log-client-6 to ip-172-31-10-114
56s         Normal    Started                   pod/log-client-6                                     Container started
56s         Normal    Created                   pod/log-client-6                                     Container created
56s         Normal    Pulled                    pod/log-client-6                                     Container image "busybox:1.36" already present on machine and can be accessed by the pod
54s         Normal    Scheduled                 pod/log-client-7                                     Successfully assigned default/log-client-7 to ip-172-31-10-114
53s         Normal    Started                   pod/log-client-7                                     Container started
53s         Normal    Pulled                    pod/log-client-7                                     Container image "busybox:1.36" already present on machine and can be accessed by the pod
53s         Normal    Created                   pod/log-client-7                                     Container created
51s         Normal    Scheduled                 pod/log-client-8                                     Successfully assigned default/log-client-8 to ip-172-31-10-114
50s         Normal    Pulled                    pod/log-client-8                                     Container image "busybox:1.36" already present on machine and can be accessed by the pod
50s         Normal    Started                   pod/log-client-8                                     Container started
50s         Normal    Created                   pod/log-client-8                                     Container created
47s         Normal    Scheduled                 pod/log-client-9                                     Successfully assigned default/log-client-9 to ip-172-31-10-114
46s         Normal    Started                   pod/log-client-9                                     Container started
46s         Normal    Created                   pod/log-client-9                                     Container created
46s         Normal    Pulled                    pod/log-client-9                                     Container image "busybox:1.36" already present on machine and can be accessed by the pod
44s         Normal    Scheduled                 pod/log-client-10                                    Successfully assigned default/log-client-10 to ip-172-31-10-114
43s         Normal    Started                   pod/log-client-10                                    Container started
43s         Normal    Created                   pod/log-client-10                                    Container created
43s         Normal    Pulled                    pod/log-client-10                                    Container image "busybox:1.36" already present on machine and can be accessed by the pod
37s         Normal    Scheduled                 pod/logging-app                                      Successfully assigned default/logging-app to ip-172-31-10-114
35s         Normal    Created                   pod/logging-app                                      Container created
35s         Normal    Pulled                    pod/logging-app                                      Container image "busybox:1.36" already present on machine and can be accessed by the pod
35s         Normal    Started                   pod/logging-app                                      Container started
1s          Warning   FailedMount               pod/problematic-app                                  MountVolume.SetUp failed for volume "config-volume" : configmap "nonexistent-config" not found
8s          Normal    Scheduled                 pod/problematic-app                                  Successfully assigned default/problematic-app to ip-172-31-10-114
