LAST SEEN   TYPE      REASON              OBJECT                          MESSAGE
2m26s       Normal    Pulled              pod/web-app-59bbd74d77-4kkwb    Container image "nginx:alpine" already present on machine and can be accessed by the pod
2m26s       Normal    Created             pod/web-app-59bbd74d77-7q7cx    Container created
2m26s       Normal    Pulled              pod/web-app-59bbd74d77-7q7cx    Container image "nginx:alpine" already present on machine and can be accessed by the pod
2m26s       Normal    Pulled              pod/web-app-59bbd74d77-4lvsj    Container image "nginx:alpine" already present on machine and can be accessed by the pod
2m26s       Normal    Created             pod/web-app-59bbd74d77-4lvsj    Container created
2m26s       Normal    Started             pod/web-app-59bbd74d77-4lvsj    Container started
2m26s       Normal    Pulled              pod/web-app-59bbd74d77-6nc4s    Container image "nginx:alpine" already present on machine and can be accessed by the pod
2m25s       Normal    Started             pod/web-app-59bbd74d77-4kkwb    Container started
2m25s       Normal    Started             pod/web-app-59bbd74d77-7q7cx    Container started
2m25s       Normal    Started             pod/web-app-59bbd74d77-6nc4s    Container started
75s         Normal    SuccessfulDelete    replicaset/web-app-59bbd74d77   Deleted pod: web-app-59bbd74d77-7q7cx
75s         Normal    SuccessfulDelete    replicaset/web-app-59bbd74d77   Deleted pod: web-app-59bbd74d77-6j8px
75s         Normal    Killing             pod/web-app-59bbd74d77-d46g4    Stopping container web-container
75s         Normal    Killing             pod/web-app-59bbd74d77-7q7cx    Stopping container web-container
75s         Normal    ScalingReplicaSet   deployment/web-app              Scaled down replica set web-app-59bbd74d77 from 8 to 3
75s         Normal    SuccessfulDelete    replicaset/web-app-59bbd74d77   Deleted pod: web-app-59bbd74d77-d46g4
75s         Normal    Killing             pod/web-app-59bbd74d77-6j8px    Stopping container web-container
75s         Normal    Killing             pod/web-app-59bbd74d77-4kkwb    Stopping container web-container
75s         Normal    SuccessfulDelete    replicaset/web-app-59bbd74d77   Deleted pod: web-app-59bbd74d77-4kkwb
49s         Normal    Scheduled           pod/default-resources-pod       Successfully assigned resource-governance/default-resources-pod to minikube
48s         Normal    Started             pod/default-resources-pod       Container started
48s         Normal    Created             pod/default-resources-pod       Container created
48s         Normal    Pulled              pod/default-resources-pod       Successfully pulled image "busybox:1.37" in 703ms (703ms including waiting). Image size: 2222111 bytes.
48s         Normal    Pulling             pod/default-resources-pod       Pulling image "busybox:1.37"
3s          Normal    Scheduled           pod/fixed-pod                   Successfully assigned resource-governance/fixed-pod to minikube
2s          Normal    Pulled              pod/fixed-pod                   Container image "nginx:alpine" already present on machine and can be accessed by the pod
2s          Normal    Created             pod/fixed-pod                   Container created
2s          Normal    Started             pod/fixed-pod                   Container started
