LAST SEEN   TYPE      REASON              OBJECT                                 MESSAGE
3m16s       Normal    Created             pod/web-deployment-5b8d4fbd68-sldx8    Container created
3m16s       Normal    Created             pod/web-deployment-5b8d4fbd68-fmsn2    Container created
3m16s       Normal    Pulled              pod/web-deployment-5b8d4fbd68-fmsn2    Container image "nginx:alpine" already present on machine and can be accessed by the pod
3m16s       Normal    Scheduled           pod/web-deployment-5b8d4fbd68-fmsn2    Successfully assigned observability-health/web-deployment-5b8d4fbd68-fmsn2 to minikube
3m16s       Normal    Pulled              pod/web-deployment-5b8d4fbd68-sldx8    Container image "nginx:alpine" already present on machine and can be accessed by the pod
3m16s       Normal    SuccessfulCreate    replicaset/web-deployment-5b8d4fbd68   Created pod: web-deployment-5b8d4fbd68-sldx8
3m16s       Normal    Scheduled           pod/web-deployment-5b8d4fbd68-sldx8    Successfully assigned observability-health/web-deployment-5b8d4fbd68-sldx8 to minikube
3m15s       Normal    Started             pod/web-deployment-5b8d4fbd68-sldx8    Container started
3m15s       Normal    Started             pod/web-deployment-5b8d4fbd68-fmsn2    Container started
3m12s       Warning   Unhealthy           pod/web-deployment-5b8d4fbd68-fmsn2    Startup probe failed: Get "http://10.244.0.14:80/": dial tcp 10.244.0.14:80: connect: connection refused
3m12s       Warning   Unhealthy           pod/web-deployment-5b8d4fbd68-sldx8    Startup probe failed: Get "http://10.244.0.15:80/": dial tcp 10.244.0.15:80: connect: connection refused
2m43s       Normal    Scheduled           pod/resource-constrained-app           Successfully assigned observability-health/resource-constrained-app to minikube
33s         Normal    Created             pod/resource-constrained-app           Container created
33s         Normal    Pulled              pod/resource-constrained-app           Container image "nginx:alpine" already present on machine and can be accessed by the pod
32s         Normal    Started             pod/resource-constrained-app           Container started
13s         Warning   Unhealthy           pod/resource-constrained-app           Liveness probe failed: Get "http://10.244.0.16:80/": dial tcp 10.244.0.16:80: connect: connection refused
13s         Normal    Killing             pod/resource-constrained-app           Container constrained-container failed liveness probe, will be restarted
12s         Warning   BackOff             pod/resource-constrained-app           Back-off restarting failed container constrained-container in pod resource-constrained-app_observability-health(c7a0c8e0-66e7-4a46-b109-cbbe4389c219)
