LAST SEEN   TYPE      REASON                           OBJECT                                   MESSAGE
3m52s       Warning   Unhealthy                        pod/python-probe-app-5d954db8d4-988wm    Readiness probe failed: Get "http://10.42.0.8:8080/ready": dial tcp 10.42.0.8:8080: connect: connection refused
2m57s       Warning   BackOff                          pod/python-probe-app-5d954db8d4-988wm    Back-off restarting failed container python-app in pod python-probe-app-5d954db8d4-988wm_default(5f356734-d424-458e-afff-04fdc654d917)
2m17s       Normal    Created                          pod/python-probe-app-5d954db8d4-988wm    Container created
2m17s       Normal    Started                          pod/python-probe-app-5d954db8d4-988wm    Container started
2m17s       Normal    Pulled                           pod/python-probe-app-5d954db8d4-988wm    Container image "python:3.13-slim" already present on machine and can be accessed by the pod
2m16s       Warning   Unhealthy                        pod/python-probe-app-5d954db8d4-988wm    Startup probe failed: Get "http://10.42.0.8:8080/": dial tcp 10.42.0.8:8080: connect: connection refused
2m          Normal    ScalingReplicaSet                deployment/debug-app                     Scaled up replica set debug-app-658d77b6b9 from 0 to 1
119s        Normal    SuccessfulCreate                 replicaset/debug-app-658d77b6b9          Created pod: debug-app-658d77b6b9-dwwb6
94s         Normal    Started                          pod/debug-app-658d77b6b9-dwwb6           Container started
94s         Normal    SuccessfulCreate                 replicaset/debug-app-68b77f5fc7          Created pod: debug-app-68b77f5fc7-sg5dj
94s         Normal    Created                          pod/debug-app-658d77b6b9-dwwb6           Container created
94s         Normal    Killing                          pod/debug-app-658d77b6b9-dwwb6           Container debug-container failed liveness probe, will be restarted
94s         Warning   Unhealthy                        pod/debug-app-658d77b6b9-dwwb6           Liveness probe failed: HTTP probe failed with statuscode: 404
94s         Normal    ScalingReplicaSet                deployment/debug-app                     Scaled up replica set debug-app-68b77f5fc7 from 0 to 1
94s         Normal    Pulled                           pod/debug-app-658d77b6b9-dwwb6           Container image "nginx:1.29-alpine" already present on machine and can be accessed by the pod
92s         Normal    Pulled                           pod/debug-app-68b77f5fc7-sg5dj           Container image "nginx:1.29-alpine" already present on machine and can be accessed by the pod
92s         Normal    Created                          pod/debug-app-68b77f5fc7-sg5dj           Container created
92s         Normal    Started                          pod/debug-app-68b77f5fc7-sg5dj           Container started
90s         Normal    SuccessfulDelete                 replicaset/debug-app-658d77b6b9          Deleted pod: debug-app-658d77b6b9-dwwb6
90s         Normal    Killing                          pod/debug-app-658d77b6b9-dwwb6           Stopping container debug-container
90s         Normal    ScalingReplicaSet                deployment/debug-app                     Scaled down replica set debug-app-658d77b6b9 from 1 to 0
90s         Warning   Unhealthy                        pod/debug-app-658d77b6b9-dwwb6           Readiness probe failed: HTTP probe failed with statuscode: 404
65s         Normal    ScalingReplicaSet                deployment/logging-app                   Scaled up replica set logging-app-5d579c986d from 0 to 1
64s         Normal    SuccessfulCreate                 replicaset/logging-app-5d579c986d        Created pod: logging-app-5d579c986d-9gffb
62s         Normal    Pulled                           pod/logging-app-5d579c986d-9gffb         Container image "nginx:1.29-alpine" already present on machine and can be accessed by the pod
62s         Normal    Created                          pod/logging-app-5d579c986d-9gffb         Container created
62s         Normal    Started                          pod/logging-app-5d579c986d-9gffb         Container started
18s         Normal    ScalingReplicaSet                deployment/optimized-app                 Scaled up replica set optimized-app-d498587c5 from 0 to 2
17s         Normal    SuccessfulCreate                 replicaset/optimized-app-d498587c5       Created pod: optimized-app-d498587c5-5lwxf
17s         Normal    SuccessfulCreate                 replicaset/optimized-app-d498587c5       Created pod: optimized-app-d498587c5-tmjgm
16s         Normal    Created                          pod/optimized-app-d498587c5-5lwxf        Container created
16s         Normal    Started                          pod/optimized-app-d498587c5-tmjgm        Container started
16s         Normal    Created                          pod/optimized-app-d498587c5-tmjgm        Container created
16s         Normal    Pulled                           pod/optimized-app-d498587c5-tmjgm        Container image "nginx:1.29-alpine" already present on machine and can be accessed by the pod
16s         Normal    Started                          pod/optimized-app-d498587c5-5lwxf        Container started
16s         Normal    Pulled                           pod/optimized-app-d498587c5-5lwxf        Container image "nginx:1.29-alpine" already present on machine and can be accessed by the pod
9s          Normal    ScalingReplicaSet                deployment/final-test                    Scaled up replica set final-test-5475545d4f from 0 to 1
9s          Normal    SuccessfulCreate                 replicaset/final-test-5475545d4f         Created pod: final-test-5475545d4f-p2hnm
7s          Normal    Started                          pod/final-test-5475545d4f-p2hnm          Container started
7s          Normal    Created                          pod/final-test-5475545d4f-p2hnm          Container created
7s          Normal    Pulled                           pod/final-test-5475545d4f-p2hnm          Container image "nginx:1.29-alpine" already present on machine and can be accessed by the pod
